Episode 79: Reward = 41990.97, Avg Reward (100) = 3766.18, Epsilon = 0.497, Avg Loss = 1097.5195, Max Q-Value = 5.25, Steps = 27, Reward Breakdown -> Delta_x Reward: 77651.50, Border Penalty: 346.85, Obstacle Penalty: 6914.22
Episode 80: Reward = 500.00, Avg Reward (100) = 4250.03, Epsilon = 0.497, Avg Loss = 1156.2402, Max Q-Value = 5.82, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 81: Reward = -100.00, Avg Reward (100) = 4203.16, Epsilon = 0.497, Avg Loss = 1252.7065, Max Q-Value = 5.84, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 82: Reward = 81775.94, Avg Reward (100) = 4150.03, Epsilon = 0.497, Avg Loss = 1159.7945, Max Q-Value = 6.06, Steps = 30, Reward Breakdown -> Delta_x Reward: 125473.45, Border Penalty: 430.15, Obstacle Penalty: 7515.59
Episode 83: Reward = 32723.04, Avg Reward (100) = 5096.69, Epsilon = 0.497, Avg Loss = 1246.3064, Max Q-Value = 7.15, Steps = 26, Reward Breakdown -> Delta_x Reward: 66985.86, Border Penalty: 998.02, Obstacle Penalty: 6492.86
Episode 84: Reward = 500.00, Avg Reward (100) = 5429.54, Epsilon = 0.497, Avg Loss = 1318.5592, Max Q-Value = 7.55, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 85: Reward = 86151.60, Avg Reward (100) = 5370.85, Epsilon = 0.497, Avg Loss = 1356.9146, Max Q-Value = 7.67, Steps = 31, Reward Breakdown -> Delta_x Reward: 128037.46, Border Penalty: 653.66, Obstacle Penalty: 7385.32
Episode 86: Reward = 1100.00, Avg Reward (100) = 6321.21, Epsilon = 0.497, Avg Loss = 1224.5446, Max Q-Value = 8.64, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 87: Reward = 7187.98, Avg Reward (100) = 6260.50, Epsilon = 0.497, Avg Loss = 1363.0282, Max Q-Value = 9.11, Steps = 12, Reward Breakdown -> Delta_x Reward: 23720.92, Border Penalty: 1500.00, Obstacle Penalty: 2621.54
Episode 88: Reward = 32673.31, Avg Reward (100) = 6271.16, Epsilon = 0.496, Avg Loss = 1307.0534, Max Q-Value = 10.10, Steps = 36, Reward Breakdown -> Delta_x Reward: 83614.84, Border Penalty: 2937.75, Obstacle Penalty: 9534.41
Episode 89: Reward = -100.00, Avg Reward (100) = 6571.19, Epsilon = 0.496, Avg Loss = 1270.1396, Max Q-Value = 10.25, Steps = 1, Reward Breakdown -> Delta_x Reward: 1800.00, Border Penalty: 150.00, Obstacle Penalty: 200.00
Episode 90: Reward = 4100.00, Avg Reward (100) = 6496.23, Epsilon = 0.496, Avg Loss = 1291.3087, Max Q-Value = 10.57, Steps = 8, Reward Breakdown -> Delta_x Reward: 14400.00, Border Penalty: 150.00, Obstacle Penalty: 1600.00
Episode 91: Reward = 123397.68, Avg Reward (100) = 6469.61, Epsilon = 0.496, Avg Loss = 1417.3085, Max Q-Value = 10.56, Steps = 36, Reward Breakdown -> Delta_x Reward: 174704.73, Border Penalty: 551.64, Obstacle Penalty: 9782.38
Episode 92: Reward = 1100.00, Avg Reward (100) = 7754.53, Epsilon = 0.496, Avg Loss = 1441.0937, Max Q-Value = 11.93, Steps = 3, Reward Breakdown -> Delta_x Reward: 5400.00, Border Penalty: 150.00, Obstacle Penalty: 600.00
Episode 93: Reward = 500.00, Avg Reward (100) = 7682.20, Epsilon = 0.496, Avg Loss = 1584.0679, Max Q-Value = 12.00, Steps = 2, Reward Breakdown -> Delta_x Reward: 3600.00, Border Penalty: 150.00, Obstacle Penalty: 400.00
Episode 94: Reward = 18839.94, Avg Reward (100) = 7604.97, Epsilon = 0.496, Avg Loss = 1349.4737, Max Q-Value = 12.68, Steps = 20, Reward Breakdown -> Delta_x Reward: 45544.74, Border Penalty: 332.04, Obstacle Penalty: 5218.18
Episode 95: Reward = 27722.00, Avg Reward (100) = 7724.49, Epsilon = 0.496, Avg Loss = 1406.8980, Max Q-Value = 13.82, Steps = 31, Reward Breakdown -> Delta_x Reward: 68216.32, Border Penalty: 1485.77, Obstacle Penalty: 7577.14
Episode 96: Reward = 83354.72, Avg Reward (100) = 7934.99, Epsilon = 0.496, Avg Loss = 1388.7378, Max Q-Value = 14.27, Steps = 29, Reward Breakdown -> Delta_x Reward: 125899.19, Border Penalty: 483.43, Obstacle Penalty: 7473.34
